,file,WER,S,D,I,VAD
117,MO_H_ER40_2017_01_24_ModuleDescription_description.wav,21.428571,6,4,2,silero
118,MO_H_ER40_2017_05_23_ModuleDescription_description.wav,20.895522,15,12,1,silero
119,MO_H_ER41_2017_01_24_ModuleDescription_description.wav,7.006369,6,2,3,silero
120,MO_H_ER41_2017_05_29_ModuleDescription_description.wav,11.650485,11,1,0,silero
121,MO_H_ER43_2017_01_24_ModuleDescription_description.wav,20.353982,14,7,2,silero
122,MO_H_ER43_2017_05_23_ModuleDescription_description.wav,30.054645,33,18,4,silero
123,MO_H_ER47_2017_01_27_ModuleDescription_description.wav,31.100478,27,33,5,silero
124,MO_H_ER47_2017_03_31_ModuleDescription_description.wav,39.207048,29,35,25,silero
125,MO_H_ER48_2017_01_28_ModuleDescription_description.wav,23.076923,13,9,5,silero
126,MO_H_ER48_2017_04_08_ModuleDescription_description.wav,21.428571,13,8,3,silero
127,MO_H_ER49_2017_01_28_ModuleDescription_description.wav,26.262626,12,5,9,silero
128,MO_H_ER49_2017_06_08_ModuleDescription_description.wav,30.927835,12,10,8,silero
129,MO_H_SD07_2016_04_22_ModuleDescription_description.wav,38.888889,15,11,2,silero
130,MO_H_SD11_2016_04_25_ModuleDescription_description.wav,17.105263,25,10,4,silero
131,MO_H_SD13_2016_04_25_ModuleDescription_description.wav,12.244898,18,4,20,silero
132,MO_H_SD13_2016_08_13_ModuleDescription_description.wav,15.903614,40,16,10,silero
133,MO_H_SD25_2016_05_12_ModuleDescription_description.wav,26.229508,37,20,7,silero
134,MO_H_SD30_2016_05_21_ModuleDescription_description.wav,30.263158,14,16,16,silero
135,MO_H_SD36_2016_06_23_ModuleDescription_description.wav,18.881119,16,9,2,silero
